method name, index construction time (s), index size (MB),,,,,,,
BFS,1.06,81.68,,,,,,,
LandmarkedIndex23(oE)-k=2185-b=20,5_887.34,33_930.80,,,,,,,
,,,,,,,,,
,,,,,,,,,
BFS_queryset-0,BFS_queryset-1,BFS_queryset-2,LandmarkedIndex23(oE)-k=2185-b=20_queryset-0,LandmarkedIndex23(oE)-k=2185-b=20_queryset-1,LandmarkedIndex23(oE)-k=2185-b=20_queryset-2,,,,
0.0310395559,0.0636394024,0.0017590523,4.60942E-006,4.92731E-006,0.000004371,,6733.9395976066,12915.6481690821,402.4370327156
0.0156769753,0.0648907026,0.0019617081,5.00679E-006,5.00679E-006,3.89417E-006,,3131.1429578632,12960.5400985462,503.7551159811
0.0188939571,0.0659077168,0.001960357,4.68889E-006,5.00679E-006,4.29153E-006,,4029.5159685981,13163.6670900917,456.7967671204
0.035503308,0.0611716906,0.0016363462,5.00679E-006,5.00679E-006,0.000004371,,7091.0319725812,12217.7464243557,374.3642598948
0.0043283304,0.0040806135,0.0017907619,4.68889E-006,6.27835E-006,0.000004371,,923.103410402,649.9499788957,409.6915900252
0.0041609605,0.0035953522,0.0021750132,4.21206E-006,6.27835E-006,4.29153E-006,,987.8682901003,572.6587670327,506.8153362554
0.0373490651,0.0046099822,0.0017873446,0.000004371,4.60942E-006,0.000004371,,8544.741509952,1000.1219611144,408.9097712194
0.0297119617,0.0344883601,0.0015974045,0.000004371,4.68889E-006,4.29153E-006,,6797.5204163807,7355.3357148494,372.2226035936
0.0116386414,0.0015056133,0.0019606749,4.60942E-006,6.91413E-006,4.29153E-006,,2524.968727085,217.7588966363,456.8708409355
0.0442686876,0.0242829323,0.0334882736,5.00679E-006,4.60942E-006,0.000004371,,8841.7304420597,5268.1101483484,7661.467311828
0.0460656484,0.0014623801,0.001957655,4.68889E-006,6.99361E-006,4.29153E-006,,9824.4250536908,209.1023219768,456.1671361962
0.0109283129,0.0104183356,0.0087924004,4.29153E-006,1.001358E-005,4.60942E-006,,2546.4841047365,1040.4206677332,1907.485184687
0.0371689002,0.0107829571,0.0087447166,4.68889E-006,1.136461E-005,0.000004371,,7927.0147454941,948.8189273543,2000.6215145276
0.0275979837,0.0099086761,0.0017832915,5.00679E-006,8.98043E-006,4.68889E-006,,5512.1112868724,1103.3632175742,380.322739497
0.011531353,0.0178206762,0.0180266698,4.60942E-006,4.68889E-006,3.870328E-005,,2501.6928355411,3800.6172377684,465.7659459353
0.0128999551,0.003957351,0.0090266864,0.000004371,4.68889E-006,0.000004371,,2951.2594623656,843.984618961,2065.1307137955
0.0083496571,0.0043747425,0.0028249423,5.00679E-006,0.000004371,0.000004371,,1667.6667185962,1000.8562113933,646.2919858156
0.0440073808,0.0385728677,0.001959006,4.60942E-006,4.68889E-006,1.732508E-005,,9547.2707629159,8226.4390314126,113.0734166884
0.0283756256,0.0138543447,0.0014460087,0.000004371,5.00679E-006,1.565615E-005,,6491.7926355525,2767.1111989918,92.3604257752
0.0041613579,0.0253360271,0.0019710064,5.00679E-006,4.68889E-006,0.000015974,,831.1428819663,5403.416829996,123.3880965617
0.0266622702,0.036305666,0.0083456834,3.89417E-006,0.000004371,4.68889E-006,,6846.7145039893,8306.0320201327,1779.8846656671
0.0216604074,0.0314600468,0.0077733199,4.68889E-006,4.60942E-006,3.97364E-006,,4619.5170669391,6825.1638514173,1956.2214694839
0.0283037027,0.0416780313,0.0039533774,7.62939E-006,0.000004371,0.000004371,,3709.8251197016,9535.1249782659,904.4560512469
0.0341166655,0.0484643777,0.003572305,7.62939E-006,4.68889E-006,0.000015974,,4471.7422388946,10336.0022777246,223.6319077704
