DGraph fileName=experiments/graphs/synthetic/PA/exp/V5kD2L8exp.edge,,,,,,,Speed-up (exp),Speed-up (norm),Speed-up (uni),,Difficulty (exp),Difficulty (norm),Difficulty (uni),,,Speed-up (D3),Speed-up (D4),Speed-up (D5),,,,,
(1220,170),5.95,3187,3187,,,5.89,1.31,1.14,,3196,1513,1563,,,5.3,5.13,3.49,,,20488,22715,15819
(1995,165),5.58,3265,3265,,,5.89,1.36,1.15,,3196,1513,1564,,,5.31,5.19,4.68,,,20488,22718,23776
(3782,210),4.67,3185,3185,,,5.92,1.37,1.16,,3198,1513,1564,,,5.32,5.22,4.75,,,20490,22718,23776
(1991,153),3.64,3193,3193,,,5.92,1.38,1.16,,3201,1566,1568,,,5.33,5.26,4.9,,,20491,22720,23776
(469,226),6.22,3172,3172,,,5.93,1.38,1.18,,3201,1567,1570,,,5.34,5.27,4.95,,,20491,22769,23803
(2218,169),5.86,3202,3202,,,5.94,1.39,1.19,,3201,1646,1575,,,5.4,5.34,4.98,,,20492,22801,23803
(3785,139),6.77,3240,3240,,,5.95,1.4,1.2,,3201,1667,1576,,,5.42,5.36,4.98,,,20507,22801,23833
(2911,195),7.42,3260,3260,,,5.95,1.43,1.23,,3202,1667,1577,,,5.45,5.38,4.99,,,20510,22801,23835
(4083,141),6.11,3252,3252,,,6.02,1.44,1.23,,3202,1693,1577,,,5.48,5.42,5.08,,,20510,22801,23835
(1275,226),5.14,3174,3174,,,6.07,1.44,1.27,,3202,1697,1577,,,5.48,5.42,5.11,,,20510,22819,23843
(4263,147),5.55,3263,3263,,,6.1,1.45,1.29,,3203,1697,1577,,,5.49,5.43,5.18,,,20510,22819,23843
(444,153),5.7,3192,3192,,,6.11,1.46,1.3,,3210,1698,1579,,,5.51,5.43,5.18,,,20510,22820,23843
(880,147),7.65,3262,3262,,,6.13,1.47,1.3,,3211,1698,1580,,,5.55,5.46,5.2,,,20510,22830,23852
(460,209),7.02,3202,3202,,,6.16,1.5,1.33,,3211,1699,1580,,,5.58,5.48,5.21,,,20510,22837,23852
(1929,197),5.86,3269,3269,,,6.19,1.51,1.33,,3212,1701,1581,,,5.59,5.5,5.22,,,20511,22837,23852
(1766,225),7.06,3185,3185,,,6.19,1.52,1.35,,3213,1703,1581,,,5.6,5.53,5.23,,,20537,22844,23852
(701,156),5.55,3216,3216,,,6.22,1.53,1.35,,3213,1741,1582,,,5.64,5.55,5.25,,,20537,22845,23852
(1912,216),6.99,3152,3152,,,6.25,1.53,1.36,,3213,1776,1583,,,5.66,5.57,5.26,,,20537,22845,23876
(3305,184),7.54,3168,3168,,,6.29,1.58,1.36,,3216,1792,1584,,,5.66,5.59,5.27,,,20537,22845,23876
(1788,170),5.3,3187,3187,,,6.33,1.58,1.38,,3218,1851,1585,,,5.7,5.59,5.27,,,20537,22845,23886
(3734,180),7,3211,3211,,,6.33,1.59,1.38,,3218,1852,1585,,,5.71,5.6,5.31,,,20558,22846,23889
(3692,209),5.5,3198,3198,,,6.35,1.59,1.4,,3220,1853,1587,,,5.72,5.61,5.33,,,20558,22847,23890
(3108,141),5.71,3252,3252,,,6.35,1.62,1.4,,3221,1860,1589,,,5.73,5.64,5.36,,,20558,22854,23890
(4074,201),7.23,3196,3196,,,6.36,1.62,1.43,,3231,1871,1592,,,5.73,5.65,5.37,,,20558,22892,23892
(2538,149),5.93,3273,3273,,,6.36,1.62,1.44,,3239,1905,1596,,,5.76,5.65,5.37,,,20565,22897,23894
(2517,212),5.04,3213,3213,,,6.4,1.65,1.45,,3239,1945,1599,,,5.76,5.66,5.42,,,20576,22908,23894
(3292,165),6.07,3266,3266,,,6.41,1.66,1.46,,3240,1954,1600,,,5.77,5.68,5.42,,,20577,22908,23894
(2750,197),5.7,3269,3269,,,6.41,1.69,1.48,,3247,1955,1601,,,5.77,5.68,5.42,,,20591,22908,23898
(3414,139),7.95,3239,3239,,,6.47,1.69,1.49,,3247,1957,1601,,,5.79,5.7,5.42,,,20591,22912,23900
(2654,141),7.11,3251,3251,,,6.49,1.7,1.49,,3248,1958,1606,,,5.8,5.71,5.43,,,20591,22912,23900
