10_000_000.
number of methods: 3
number of query sets: 3
number of queries in each true or false: 100
DGraph fileName=./experiments/graphs/real/jmd/jmd.edge
DGraph |V|=486320,|E|=1049647,|L|=26
DGraph size(byte)=16794320, time(s)=1.62196
dataset: ./experiments/graphs/real/jmd/jmd.edge with |L|=26 and |V|=486320
method i=0
runTestsPerIndex index=BFSBFS has index size (byte): 16794320
BFS required index construction time (s): 1.62197
Method: BFS queryset: 0
*Query 16: (35333,35358,00000000000000001000010001010000, true), avg=0.00000294049
*Query 17: (35333,35358,00000000010000001010100000000000, true), avg=0.00000309944
*Query 18: (35333,35358,00000001000000011000000000010000, true), avg=0.00000333786
*Query 19: (35333,35359,00000000000000001010000100000010, true), avg=0.00000365575
*Query 20: (35333,35359,00000000000100011000000000000010, true), avg=0.00000365575
*Query 21: (35333,35359,00000000100000001000100000000001, true), avg=0.00000301996
*Query 22: (35333,35360,00000000000000001010000010000001, true), avg=0.00000333786
*Query 23: (35333,35360,00000010000000001000000001000001, true), avg=0.00000301996
*Query 24: (35333,348694,00000010000000100010000000001000, true), avg=0.00000294049
*Query 25: (35333,349004,00000001010000010001000000000000, true), avg=0.00000294049
*Query 26: (35333,350146,00000000000010001010000000001000, true), avg=0.00000365575
*Query 27: (35333,350146,00000000000100001010000000010000, true), avg=0.00000309944
*Query 28: (35333,350148,00000000000101001000000001000000, true), avg=0.00000294049
*Query 29: (35333,350148,00000010000001001000000010000000, true), avg=0.00000301996
*Query 30: (35333,350151,00000000000001001000000011000000, true), avg=0.00000301996
*Query 31: (35333,350152,00000000000000101010000000000001, true), avg=0.00000365575
*Query 32: (35333,350154,00000010000011001000000000000000, true), avg=0.00000294049
*Query 33: (35333,350155,00000000000000111010000000000000, true), avg=0.00000397364
*Query 34: (35333,350158,00000000000000001010100000000010, true), avg=0.00000397364
*Query 35: (35333,350162,00000000100100001010000000000000, true), avg=0.00000397364
*Query 36: (35333,350162,00000001000100001010000000000000, true), avg=0.00000397364
*Query 37: (35333,350169,00000000000001001000010000000100, true), avg=0.00000325838
*Query 38: (35333,350170,00000000010000001010000000001000, true), avg=0.00000397364
*Query 39: (45236,11650,00000000100010100000000000000010, true), avg=0.00000301996
*Query 40: (45236,348697,00000000000010000010000000100010, true), avg=0.00000294049
*Query 41: (45236,395289,00000000100000011010000000000000, true), avg=0.00000294049
*Query 42: (48539,48536,00000001000010010000000000000010, true), avg=0.00000301996
*Query 43: (48539,48542,00000000000010000100010001000000, true), avg=0.00000301996
*Query 44: (48539,48569,00000100000000010001000000000010, true), avg=0.00000301996
*Query 45: (48539,48569,00000100000010010001000000000000, true), avg=0.00000294049
*Query 46: (48539,48572,00000000000010000010000001001000, true), avg=0.00000262260
*Query 47: (48539,48573,00000000000000001010000000001100, true), avg=0.00000294049
*Query 48: (48539,48573,00000000000000001010010001000000, true), avg=0.00000294049
*Query 49: (48539,48573,00000001000010000010000000010000, true), avg=0.00000294049
*Query 50: (48539,48574,00000000000000000111000001000000, true), avg=0.00000301996
*Query 51: (48539,48574,00000001010000000011000000000000, true), avg=0.00000294049
*Query 52: (48539,48574,00000010000000000010001000010000, true), avg=0.00000294049
*Query 53: (48539,48574,00000010000001000010000000000100, true), avg=0.00000294049
*Query 54: (48539,48574,00000011000000000010010000000000, true), avg=0.00000262260
*Query 55: (48539,48575,00000000000010010011000000000000, true), avg=0.00000301996
*Query 56: (48539,48575,00000000010000000010001000000001, true), avg=0.00000294049
*Query 57: (48539,48578,00000000001000010100000000100000, true), avg=0.00000294049
*Query 58: (48539,48579,00000000000000000100000000000111, true), avg=0.00000270207
*Query 59: (48539,48579,00000000000001100110000000000000, true), avg=0.00000286102
*Query 60: (48539,48579,00000001000000000110000000000010, true), avg=0.00000294049
*Query 61: (48539,48579,00000010000000000100100000000001, true), avg=0.00000230471
*Query 62: (141648,11650,00000000100000000010001000000010, true), avg=0.00000270207
*Query 63: (276694,47054,00000000000101000000011000000000, true), avg=0.00000262260
*Query 64: (276694,47054,00000000010100000000010000001000, true), avg=0.00000254313
*Query 65: (276694,47054,00000010110100000000000000000000, true), avg=0.00000262260
*Query 66: (276694,168982,00000000001010000001000000001000, true), avg=0.00000262260
*Query 67: (276694,168982,00000000001010000001001000000000, true), avg=0.00000294049
*Query 68: (276694,168982,00000000101000001100000000000000, true), avg=0.00000262260
*Query 69: (276694,168982,00000001001000000000000001010000, true), avg=0.00000230471
*Query 70: (276694,168982,00000001001000000101000000000000, true), avg=0.00000262260
*Query 71: (276694,168982,00000010001000000000000000100100, true), avg=0.00000262260
*Query 72: (276694,168983,00000000001000100000000100000100, true), avg=0.00000222524
*Query 73: (276694,257426,00000000000000000000110100000010, true), avg=0.00000230471
*Query 74: (276694,257426,00000100000000000000000000100110, true), avg=0.00000262260
*Query 75: (276694,257426,00000110000000000000000001000010, true), avg=0.00000262260
*Query 76: (283082,66,00000000001100000010000000000010, true), avg=0.00000262260
*Query 77: (283082,257426,00000000001100000001000000000010, true), avg=0.00000294049
*Query 78: (283082,398966,00000000000101000000001000000010, true), avg=0.00000262260
*Query 79: (283082,398966,00000000000101000010100000000000, true), avg=0.00000294049
*Query 80: (318510,44601,00000000000100000000100000101000, true), avg=0.00000262260
*Query 81: (318510,44601,00000000000100000100010000100000, true), avg=0.00000230471
*Query 82: (318510,44601,00000000000100001000010000001000, true), avg=0.00000230471
*Query 83: (318510,44601,00000000000110001000100000000000, true), avg=0.00000262260
*Query 84: (318510,44601,00000000001100000000101000000000, true), avg=0.00000262260
*Query 85: (318510,44601,00000000001101000000000000001000, true), avg=0.00000262260
*Query 86: (318510,44601,00000100000100000000000000100100, true), avg=0.00000262260
*Query 87: (318510,210798,00000000001010000100000000000001, true), avg=0.00000262260
*Query 88: (318510,210798,00000000101010000100000000000000, true), avg=0.00000262260
*Query 89: (318510,257426,00000100000000000000100010000010, true), avg=0.00000262260
*Query 90: (318510,448170,00000000000100000010100000000001, true), avg=0.00000230471
*Query 91: (318510,448170,00000100000100000010010000000000, true), avg=0.00000294049
*Query 92: (318510,448171,00000010000101000100000000000000, true), avg=0.00000230471
